path,relative_path,filename,extension,size_bytes,modified_time,sha256
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1469.RAF,Photos/Archives/2025/07-29-2025/DSCF1469.RAF,DSCF1469.RAF,.raf,19312640,2025-07-26T15:14:16,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1469.JPG,Photos/Archives/2025/07-29-2025/DSCF1469.JPG,DSCF1469.JPG,.jpg,3801590,2025-07-26T15:14:16,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1468.JPG,Photos/Archives/2025/07-29-2025/DSCF1468.JPG,DSCF1468.JPG,.jpg,4278421,2025-07-26T15:09:34,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1468.RAF,Photos/Archives/2025/07-29-2025/DSCF1468.RAF,DSCF1468.RAF,.raf,19433472,2025-07-26T15:09:32,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1467.RAF,Photos/Archives/2025/07-29-2025/DSCF1467.RAF,DSCF1467.RAF,.raf,19380224,2025-07-26T15:09:32,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1467.JPG,Photos/Archives/2025/07-29-2025/DSCF1467.JPG,DSCF1467.JPG,.jpg,4665059,2025-07-26T15:09:32,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1466.RAF,Photos/Archives/2025/07-29-2025/DSCF1466.RAF,DSCF1466.RAF,.raf,19368448,2025-07-26T15:09:32,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1466.JPG,Photos/Archives/2025/07-29-2025/DSCF1466.JPG,DSCF1466.JPG,.jpg,4661212,2025-07-26T15:09:32,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1512.xmp,Photos/Archives/2025/07-29-2025/DSCF1512.xmp,DSCF1512.xmp,.xmp,8701,2025-07-29T18:05:05.808716,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1491.xmp,Photos/Archives/2025/07-29-2025/DSCF1491.xmp,DSCF1491.xmp,.xmp,8699,2025-07-29T18:57:18.128738,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1490.xmp,Photos/Archives/2025/07-29-2025/DSCF1490.xmp,DSCF1490.xmp,.xmp,8862,2025-07-29T18:59:30.952084,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1486.xmp,Photos/Archives/2025/07-29-2025/DSCF1486.xmp,DSCF1486.xmp,.xmp,8893,2025-07-29T19:01:10.185407,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1483.xmp,Photos/Archives/2025/07-29-2025/DSCF1483.xmp,DSCF1483.xmp,.xmp,8698,2025-07-29T19:05:30.079672,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/07-29-2025/DSCF1476.xmp,Photos/Archives/2025/07-29-2025/DSCF1476.xmp,DSCF1476.xmp,.xmp,8701,2025-07-29T19:33:49.321679,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/08-02-2025/DSCF1574.RAF,Photos/Archives/2025/08-02-2025/DSCF1574.RAF,DSCF1574.RAF,.raf,19261952,2025-08-02T18:56:22,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/08-02-2025/DSCF1571.JPG,Photos/Archives/2025/08-02-2025/DSCF1571.JPG,DSCF1571.JPG,.jpg,3345683,2025-08-02T22:21:00.580118,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/08-02-2025/DSCF1573.RAF,Photos/Archives/2025/08-02-2025/DSCF1573.RAF,DSCF1573.RAF,.raf,19245056,2025-08-02T18:55:38,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/08-02-2025/DSCF1573.JPG,Photos/Archives/2025/08-02-2025/DSCF1573.JPG,DSCF1573.JPG,.jpg,3398588,2025-08-02T22:18:48.204427,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/08-02-2025/DSCF1572.RAF,Photos/Archives/2025/08-02-2025/DSCF1572.RAF,DSCF1572.RAF,.raf,19235328,2025-08-02T18:55:26,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/08-02-2025/DSCF1565.JPG,Photos/Archives/2025/08-02-2025/DSCF1565.JPG,DSCF1565.JPG,.jpg,3375828,2025-08-02T22:21:25.075736,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/08-02-2025/DSCF1571.RAF,Photos/Archives/2025/08-02-2025/DSCF1571.RAF,DSCF1571.RAF,.raf,19235328,2025-08-02T18:55:16,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/08-02-2025/DSCF1570.RAF,Photos/Archives/2025/08-02-2025/DSCF1570.RAF,DSCF1570.RAF,.raf,19232256,2025-08-02T18:55:08,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/08-02-2025/DSCF1570.JPG,Photos/Archives/2025/08-02-2025/DSCF1570.JPG,DSCF1570.JPG,.jpg,3341896,2025-08-02T22:20:44.260331,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/08-02-2025/DSCF1574.JPG,Photos/Archives/2025/08-02-2025/DSCF1574.JPG,DSCF1574.JPG,.jpg,3458315,2025-08-02T22:19:05.309129,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/08-02-2025/DSCF1568.RAF,Photos/Archives/2025/08-02-2025/DSCF1568.RAF,DSCF1568.RAF,.raf,19237888,2025-08-02T18:54:04,
/Users/iv/NAS/Public/Media/Photos/Photos/Archives/2025/08-02-2025/DSCF1568.JPG,Photos/Archives/2025/08-02-2025/DSCF1568.JPG,DSCF1568.JPG,.jpg,3362503,2025-08-02T22:21:06.752766,
